Time Period Start Date,Value
4/23/2020,23.2
4/23/2020,18.4
4/23/2020,13.6
4/23/2020,14.4
4/23/2020,31
4/23/2020,24.9
4/23/2020,16.4
4/23/2020,14.6
4/23/2020,35.8
4/23/2020,28.9
4/23/2020,21.5
4/23/2020,21.1
5/7/2020,24.1
5/7/2020,17.6
5/7/2020,12.2
5/7/2020,9.1
5/7/2020,31.3
5/7/2020,22
5/7/2020,16.4
5/7/2020,11
5/7/2020,35.5
5/7/2020,25.5
5/7/2020,19.8
5/7/2020,13.9
5/14/2020,24.6
5/14/2020,18
5/14/2020,12.3
5/14/2020,14.4
5/14/2020,28.4
5/14/2020,22.3
5/14/2020,13.4
5/14/2020,11.8
5/14/2020,33.7
5/14/2020,26.4
5/14/2020,18.3
5/14/2020,17.1
5/21/2020,24.6
5/21/2020,19.8
5/21/2020,13.3
5/21/2020,17.1
5/21/2020,29.3
5/21/2020,22.2
5/21/2020,15
5/21/2020,17.1
5/21/2020,33.7
5/21/2020,27.4
5/21/2020,18.8
5/21/2020,20.1
5/28/2020,25.1
5/28/2020,18
5/28/2020,15.5
5/28/2020,14.9
5/28/2020,29.3
5/28/2020,23
5/28/2020,18.2
5/28/2020,13.3
5/28/2020,33.6
5/28/2020,27
5/28/2020,21.7
5/28/2020,19.2
6/4/2020,26
6/4/2020,19.8
6/4/2020,13.1
6/4/2020,12.3
6/4/2020,31.8
6/4/2020,22.3
6/4/2020,15.4
6/4/2020,13.7
6/4/2020,36
6/4/2020,27.4
6/4/2020,19
6/4/2020,18.6
6/11/2020,24.6
6/11/2020,19.6
6/11/2020,15.5
6/11/2020,9.9
6/11/2020,31.7
6/11/2020,23.6
6/11/2020,18
6/11/2020,14.6
6/11/2020,35.8
6/11/2020,27.7
6/11/2020,21.7
6/11/2020,17.6
6/18/2020,26
6/18/2020,19.3
6/18/2020,14.5
6/18/2020,10.8
6/18/2020,32.4
6/18/2020,23.1
6/18/2020,14.8
6/18/2020,11.4
6/18/2020,36.3
6/18/2020,27.4
6/18/2020,19.3
6/18/2020,14.6
6/25/2020,27.1
6/25/2020,20.5
6/25/2020,16.1
6/25/2020,15.2
6/25/2020,33.9
6/25/2020,25
6/25/2020,18.6
6/25/2020,16.2
6/25/2020,37.4
6/25/2020,29.1
6/25/2020,23.4
6/25/2020,20.5
7/2/2020,28.2
7/2/2020,21.8
7/2/2020,17.8
7/2/2020,18.7
7/2/2020,33.4
7/2/2020,26.5
7/2/2020,18.4
7/2/2020,19.3
7/2/2020,38.3
7/2/2020,30.8
7/2/2020,24.5
7/2/2020,25.6
7/9/2020,29.2
7/9/2020,21.7
7/9/2020,13.9
7/9/2020,12
7/9/2020,34.7
7/9/2020,27.8
7/9/2020,17.8
7/9/2020,15.6
7/9/2020,39.8
7/9/2020,31.8
7/9/2020,21.4
7/9/2020,18.9
7/16/2020,28.4
7/16/2020,23.6
7/16/2020,16.9
7/16/2020,12.6
7/16/2020,36.1
7/16/2020,27.3
7/16/2020,19.5
7/16/2020,13.4
7/16/2020,40
7/16/2020,32.1
7/16/2020,24.3
7/16/2020,17.5
8/19/2020,23.8
8/19/2020,19.7
8/19/2020,14.8
8/19/2020,13.8
8/19/2020,31.1
8/19/2020,25.2
8/19/2020,18.2
8/19/2020,14.6
8/19/2020,19.4
9/2/2020,23.1
9/2/2020,19.4
9/2/2020,14.9
9/2/2020,13.3
9/2/2020,30.8
9/2/2020,24.9
9/2/2020,19.2
9/2/2020,17.7
9/2/2020,35
9/2/2020,29.3
9/2/2020,23.1
9/2/2020,22.3
9/16/2020,23.6
9/16/2020,20.8
9/16/2020,15.5
9/16/2020,12.5
9/16/2020,31.4
9/16/2020,26.5
9/16/2020,19.2
9/16/2020,15.3
9/16/2020,35.6
9/16/2020,30.7
9/16/2020,23.5
9/16/2020,19.1
9/30/2020,22.6
9/30/2020,19.6
9/30/2020,15
9/30/2020,10.8
9/30/2020,31.1
9/30/2020,24.8
9/30/2020,18
9/30/2020,15
9/30/2020,34.8
9/30/2020,29.5
9/30/2020,22.8
9/30/2020,17.9
10/14/2020,23.7
10/14/2020,20.4
10/14/2020,15.4
10/14/2020,13.3
10/14/2020,30.4
10/14/2020,26.5
10/14/2020,18.2
10/14/2020,17.2
10/14/2020,34.8
10/14/2020,30.7
10/14/2020,23.1
10/14/2020,19.3
10/28/2020,25.5
10/28/2020,20.5
10/28/2020,16.4
10/28/2020,12.6
10/28/2020,34.1
10/28/2020,28.7
10/28/2020,21.3
10/28/2020,15.4
10/28/2020,38.6
10/28/2020,32.9
10/28/2020,26.6
10/28/2020,18.4
11/11/2020,26.7
11/11/2020,21.5
11/11/2020,17.2
11/11/2020,18.2
11/11/2020,35.3
11/11/2020,30.2
11/11/2020,24.2
11/11/2020,17.9
11/11/2020,40.2
11/11/2020,34.2
11/11/2020,28.6
11/11/2020,24.1
11/25/2020,28
11/25/2020,21.7
11/25/2020,17.2
11/25/2020,14.4
11/25/2020,35.1
11/25/2020,27.3
11/25/2020,21.2
11/25/2020,16.1
11/25/2020,40
11/25/2020,32.3
11/25/2020,26.4
11/25/2020,19.4
12/9/2020,28.9
12/9/2020,22.5
12/9/2020,18.4
12/9/2020,21.7
12/9/2020,36.2
12/9/2020,28.6
12/9/2020,21.5
12/9/2020,22.5
12/9/2020,41.1
12/9/2020,33.6
12/9/2020,27.1
12/9/2020,28.3
1/6/2021,27.1
1/6/2021,22.3
1/6/2021,18.7
1/6/2021,18.4
1/6/2021,36
1/6/2021,29.6
1/6/2021,22.3
1/6/2021,20.3
1/6/2021,40.6
1/6/2021,34.1
1/6/2021,27.9
1/6/2021,27.3
1/20/2021,36.3
1/20/2021,29.5
1/20/2021,22.5
1/20/2021,17.5
1/20/2021,41.3
1/20/2021,34.2
1/20/2021,26.8
1/20/2021,22.6
2/3/2021,26
2/3/2021,23
2/3/2021,16.2
2/3/2021,16
2/3/2021,31.6
2/3/2021,27.7
2/3/2021,19.3
2/3/2021,19
2/3/2021,36.9
2/3/2021,32.6
2/3/2021,24.7
2/3/2021,23.3
2/17/2021,27.1
2/17/2021,21.1
2/17/2021,16.9
2/17/2021,14.9
2/17/2021,32.3
2/17/2021,25.8
2/17/2021,19.6
2/17/2021,18.1
2/17/2021,37.2
2/17/2021,30.4
2/17/2021,24.3
2/17/2021,22.4
3/3/2021,23.7
3/3/2021,19.3
3/3/2021,15.4
3/3/2021,18
3/3/2021,30.5
3/3/2021,23.2
3/3/2021,17.2
3/3/2021,19.7
